WMoos_F5_Ms1,WMoos_F5_Ms2,WMoos_F5_Ms3,WMoos_F5_Ms4,WMoos_F5_Ms5,WMoos_F5_Ms6,WMoos_F5_Ms7,WMoos_F5_Ms8,activity
15.79983521,20.89505005,3.482696533,1.20135498,0.560546875,1.183776855,2.088653564,10.38879395,waveOut
17.73602295,17.79293823,3.647521973,1.320617676,1.03326416,0.687255859,1.408050537,5.827819824,waveOut
20.69598389,20.64031982,7.135101318,2.431152344,1.533081055,2.460205078,4.14743042,12.09289551,waveOut
16.51983643,23.63705444,4.13571167,1.456970215,0.866333008,3.391845703,2.986602783,7.303253174,waveOut
21.8470459,21.61032104,4.969665527,1.65322876,1.067352295,2.61706543,3.894714355,13.1295166,waveOut
21.25296021,18.86602783,4.890869141,1.54006958,0.609100342,0.662414551,2.09085083,9.989593506,waveOut
25.49020386,23.02468872,5.56463623,1.845214844,0.82043457,1.21697998,3.00769043,7.863311768,waveOut
18.20471191,17.97634888,5.218811035,1.825897217,0.774780273,0.960235596,2.31729126,7.630706787,waveOut
17.53649902,19.65063477,6.620147705,2.29776001,1.009307861,2.480895996,3.288482666,11.68902588,waveOut
21.14453125,15.81362915,3.168426514,1.094055176,0.457427979,0.529144287,1.428314209,4.69418335,waveOut
20.4354248,26.33978271,7.430267334,2.308319092,1.737976074,2.968719482,4.098083496,16.70626831,waveOut
25.02340698,22.22485352,5.63885498,1.812133789,0.786407471,1.195587158,2.073699951,11.48358154,waveOut
22.30065918,23.76123047,4.569946289,1.546966553,0.69833374,1.525756836,2.842773438,7.674591064,waveOut
20.2406311,21.49432373,4.335510254,1.425842285,0.654296875,2.418151855,1.607055664,6.928649902,waveOut
16.79632568,22.59140015,3.984008789,1.201843262,0.54888916,1.005187988,2.027862549,9.8515625,waveOut
18.23654175,17.10064697,3.654022217,1.199645996,0.609039307,0.985961914,1.484130859,4.716156006,waveOut
12.0300293,12.30276489,3.678588867,1.90737915,0.836578369,1.300964355,2.773132324,6.876831055,waveOut
22.46157837,19.93951416,4.657897949,1.628448486,2.012390137,2.480377197,3.811218262,11.43637085,waveOut
12.28683472,11.52398682,2.330169678,1.223602295,0.534515381,0.48916626,2.887786865,5.176940918,waveOut
19.26370239,16.97195435,4.053466797,1.389831543,0.785766602,2.155609131,3.290313721,8.381713867,waveOut
17.44631958,22.35946655,4.910522461,1.454650879,0.641937256,1.486907959,3.025177002,9.671203613,waveOut
19.6887207,19.27520752,3.010620117,1.00201416,0.598480225,0.76071167,2.21685791,9.212463379,waveOut
17.65570068,19.29147339,3.98815918,1.181945801,0.513153076,0.792694092,1.93081665,7.297698975,waveOut
20.49487305,18.3069458,5.494262695,1.835540771,0.758392334,1.467834473,3.317443848,11.7694397,waveOut
18.30441284,18.60174561,6.842803955,2.609191895,1.347137451,1.422546387,3.193969727,9.875762939,waveOut
18.85992432,21.12805176,5.895172119,1.572509766,0.705718994,0.987701416,2.260498047,11.00726318,waveOut
22.09353638,19.94238281,4.417755127,1.315460205,0.701843262,2.005310059,2.687072754,10.20617676,waveOut
18.79458618,24.47857666,5.707885742,2.094970703,0.979858398,1.723876953,5.506896973,13.79211426,waveOut
20.66305542,25.80810547,4.851013184,1.464294434,0.798248291,1.947753906,3.275360107,15.14068604,waveOut
13.22387695,8.079986572,2.445922852,0.916381836,0.402191162,0.410736084,1.514953613,4.027526855,waveOut
17.18148804,17.34692383,3.706542969,1.014373779,0.537872314,0.951690674,0.938537598,4.667938232,waveOut
20.04733276,16.34899902,5.11630249,1.712463379,0.950164795,1.211608887,3.68838501,15.61877441,waveOut
19.15390015,14.23623657,2.927734375,0.998718262,0.519317627,0.48526001,1.298034668,7.857452393,waveOut
15.80776978,15.68795776,2.636474609,0.997070313,0.464447021,1.02142334,2.066711426,8.519805908,waveOut
20.2024231,22.05767822,5.323455811,2.118499756,1.319854736,1.785217285,4.468902588,16.15441895,waveOut
12.64654541,9.001342773,2.032775879,1.334472656,0.785430908,0.532318115,1.670928955,5.193237305,waveOut
17.02920532,21.30761719,4.334991455,1.559692383,0.760406494,1.169586182,2.285095215,8.448730469,waveOut
20.42935181,19.3001709,6.126525879,2.169219971,1.010803223,1.05645752,3.314758301,11.86416626,waveOut
18.09146118,21.56463623,4.549041748,2.097137451,5.968811035,4.592315674,2.908874512,8.980804443,waveOut
21.34295654,21.6854248,5.69744873,1.618560791,0.647399902,0.870330811,2.005859375,9.106048584,waveOut
25.17703247,21.68774414,4.547790527,1.783752441,1.316986084,1.131896973,2.536132813,12.29806519,waveOut
